id,Status_C,Status_CL,Status_D
7905,0.31025144,0.009220248,0.6805283
7906,0.52415055,0.2753421,0.20050728
7907,0.04122295,0.012649977,0.9461271
7908,0.95309526,0.0077358354,0.03916895
7909,0.77241814,0.03905498,0.1885269
7910,0.99286795,0.0010891347,0.006042885
7911,0.981426,0.003237708,0.015336346
7912,0.20374934,0.0110551715,0.7851955
7913,0.0022433475,0.00069510285,0.99706155
7914,0.78883094,0.0030395917,0.2081294
7915,0.77335054,0.018007888,0.20864165
7916,0.4083044,0.008014607,0.583681
7917,0.48696166,0.1993488,0.3136896
7918,0.92640895,0.018717112,0.0548739
7919,0.6192039,0.07972959,0.30106655
7920,0.94323885,0.002850186,0.053910922
7921,0.790695,0.005513369,0.20379171
7922,0.016692389,0.010104074,0.9732036
7923,0.86161256,0.00082113256,0.13756637
7924,0.54808265,0.14210187,0.30981544
7925,0.0039044463,0.0005871078,0.99550843
7926,0.9255933,0.0014559468,0.07295079
7927,0.6840632,0.043015163,0.27292168
7928,0.02974176,0.0032149316,0.9670433
7929,0.91843027,0.007428949,0.0741408
7930,0.14856122,0.11331807,0.7381207
7931,0.8276204,0.0034393594,0.1689402
7932,0.2056797,0.009569268,0.78475106
7933,0.40671718,0.023249669,0.57003313
7934,0.98188984,0.0009548324,0.017155413
7935,0.8944349,0.004074082,0.10149104
7936,0.9182816,0.009675041,0.07204328
7937,0.15954621,0.008226538,0.8322273
7938,0.98239636,0.0009466575,0.016657017
7939,0.1886843,0.039817188,0.7714985
7940,0.69628656,0.028623397,0.27509004
7941,0.23639941,0.05283901,0.7107616
7942,0.7117926,0.011181592,0.2770258
7943,0.008106321,0.008427118,0.98346657
7944,0.96121216,0.00040148594,0.038386345
7945,0.9781608,0.0014280111,0.02041125
7946,0.8871736,0.015550481,0.097275935
7947,0.77296406,0.0050584762,0.2219775
7948,0.19311671,0.018149955,0.7887333
7949,0.037562616,0.17181203,0.7906254
7950,0.9495709,0.0030603025,0.047368795
7951,0.372956,0.14130327,0.48574072
7952,0.25793582,0.053438228,0.68862593
7953,0.008988307,0.000966545,0.99004513
7954,0.922869,0.0074878563,0.06964317
7955,0.1532893,0.017395522,0.82931525
7956,0.01999357,0.015729334,0.9642771
7957,0.8785867,0.010126541,0.11128673
7958,0.0053773094,0.0009912348,0.9936314
7959,0.16634311,0.021397123,0.8122598
7960,0.113297865,0.008224535,0.8784776
7961,0.7550543,0.00853132,0.23641445
7962,0.117128894,0.0032592155,0.8796119
7963,0.2086377,0.026974767,0.7643875
7964,0.014112085,0.0038076746,0.9820802
7965,0.99297076,0.0025099765,0.0045193178
7966,0.6743871,0.0120807905,0.31353208
7967,0.7942415,0.0066589927,0.19909947
7968,0.8521707,0.0037182877,0.14411101
7969,0.30841166,0.037779156,0.6538092
7970,0.96942824,0.00067536725,0.029896429
7971,0.97015005,0.0053978544,0.02445202
7972,0.5764142,0.07737307,0.3462127
7973,0.92711735,0.006533049,0.06634959
7974,0.050937545,0.010419292,0.93864316
7975,0.95519656,0.0071732686,0.037630193
7976,0.7381031,0.0030676788,0.25882924
7977,0.9547457,0.00421412,0.04104022
7978,0.013657243,0.004634687,0.98170805
7979,0.53130025,0.022466792,0.44623294
7980,0.960585,0.0023263288,0.03708873
7981,0.8052617,0.029775282,0.16496307
7982,0.8355124,0.010558785,0.15392879
7983,0.93684685,0.00917275,0.053980384
7984,0.0554273,0.02561801,0.9189547
7985,0.30800846,0.003511542,0.68847996
7986,0.075905815,0.07759535,0.84649885
7987,0.76707065,0.014539897,0.21838948
7988,0.6239047,0.02733169,0.34876356
7989,0.949777,0.010182333,0.04004072
7990,0.31354257,0.012126098,0.6743313
7991,0.017692078,0.012838908,0.969469
7992,0.96771663,0.0059537585,0.026329635
7993,0.86861,0.0065689324,0.12482102
7994,0.968116,0.005950674,0.025933307
7995,0.71149904,0.021866124,0.2666348
7996,0.012595603,0.018866172,0.96853817
7997,0.83139217,0.016119111,0.15248877
7998,0.001552864,0.0009550345,0.9974921
7999,0.00047327363,0.00039980322,0.999127
8000,0.9242097,0.023044012,0.05274628
8001,0.8742481,0.004194118,0.12155771
8002,0.2510255,0.1951057,0.55386883
8003,0.4343284,0.11195851,0.45371315
8004,0.1850047,0.018504836,0.79649055
8005,0.83789873,0.00835377,0.15374751
8006,0.8268258,0.024991931,0.14818233
8007,0.925356,0.0029801966,0.07166386
8008,0.9659472,0.007867768,0.026185129
8009,0.8190237,0.0043332777,0.17664298
8010,0.9460642,0.008048845,0.04588703
8011,0.6999571,0.0034287218,0.29661426
8012,0.86037374,0.0022567539,0.13736947
8013,0.110585205,0.04415009,0.8452647
8014,0.95614576,0.020310003,0.023544243
8015,0.93344367,0.001929079,0.064627245
8016,0.99473876,0.0007301567,0.0045311158
8017,0.5451073,0.0016001947,0.45329258
8018,0.695235,0.018673088,0.28609186
8019,0.95456743,0.0075538754,0.037878685
8020,0.47790986,0.039014798,0.48307532
8021,0.0786083,0.0028648693,0.9185268
8022,0.050663054,0.01040764,0.9389294
8023,0.5455236,0.05452375,0.39995265
